,date,timCool1,strCushion1,tmpMoldZone3,tmpFlange1,tmpMoldZone4,strPlasticisation1,tmpMoldZone1,tmpMoldZone2,spdInjection1,tmpMoldZone9,tmpMoldZone7,tmpMoldZone8,tmpOil,tmpMoldZone5,tmpMoldZone6,tmpMoldZone19,cntCycle,tmpMoldZone18,stsMachine,tmpMoldZone15,volTransfer1,tmpMoldZone14,tmpMoldZone17,strTransfer1,tmpMoldZone16,timTransfer1,timMoldClose,tmpBarrel1Zone5,tmpBarrel1Zone4,prsPomp1,tmpBarrel1Zone1,tmpBarrel1Zone3,tmpMoldZone20,tmpBarrel1Zone2,volShot1,timFill1,timMoldOpen,tmpMoldZone11,tmpMoldZone10,prsTransferHyd1,tmpMoldZone13,tmpMoldZone12,decMold,prsHoldSpec1,tmpNozle1,timestamp,prsInjectionHyd1,timCycle,sfc,frcClamp,timPlasticisation1,reason
8394,2020-12-05T14:35:33.000,16.5,17.5,295.0,96.0,295.0,66.8,296.0,295.0,44.8,0.0,0.0,0.0,40.0,296.0,0.0,0.0,1,0.0,0S000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.95,285.0,280.0,80.0,255.0,270.0,0.0,260.0,0.0,1.74,3.46,0.0,0.0,63.61,0.0,0.0,1793,924.0,249.0,2020-12-05 17:35:33.0,72.45,45.92,[],3885.0,12.87,
8395,2020-12-05T14:36:26.000,16.5,22.9,295.0,96.0,295.0,72.3,294.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,2,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,280.0,43.0,255.0,270.0,0.0,260.0,0.0,1.86,3.46,0.0,0.0,64.79,0.0,0.0,1793,1077.0,250.0,2020-12-05 17:36:26.0,84.46,47.39,[],3885.0,11.9,
8396,2020-12-05T14:37:10.000,16.5,22.2,295.0,96.0,295.0,71.5,293.0,295.0,42.6,0.0,0.0,0.0,40.0,296.0,0.0,0.0,3,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,280.0,113.0,255.0,270.0,0.0,260.0,0.0,1.84,3.46,0.0,0.0,64.66,0.0,0.0,1793,1077.0,250.0,2020-12-05 17:37:10.0,84.41,47.34,[],3885.0,10.4,
8397,2020-12-05T14:37:59.000,16.5,22.1,294.0,96.0,295.0,71.4,293.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,4,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,280.0,40.0,255.0,271.0,0.0,261.0,0.0,1.84,3.46,0.0,0.0,64.5,0.0,0.0,1793,1075.0,250.0,2020-12-05 17:37:59.0,84.25,46.13,[],3885.0,10.31,
8398,2020-12-05T14:38:44.000,16.5,22.1,294.0,96.0,295.0,71.4,296.0,294.0,42.0,0.0,0.0,0.0,40.0,296.0,0.0,0.0,5,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.94,285.0,281.0,45.0,255.0,271.0,0.0,261.0,0.0,1.84,3.46,0.0,0.0,64.2,0.0,0.0,1793,1071.0,250.0,2020-12-05 17:38:44.0,83.99,46.07,[],3885.0,10.29,
8400,2020-12-05T14:39:32.000,16.5,22.0,295.0,96.0,295.0,71.3,294.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,6,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.94,285.0,281.0,96.0,255.0,271.0,0.0,261.0,0.0,1.84,3.46,0.0,0.0,64.07,0.0,0.0,1793,1067.0,249.0,2020-12-05 17:39:32.0,83.7,46.08,"['S107640700002302564', 'S107640700001302564']",3885.0,10.41,
8401,2020-12-05T14:40:17.000,16.5,22.0,295.0,96.0,295.0,71.3,295.0,295.0,42.6,0.0,0.0,0.0,40.0,296.0,0.0,0.0,7,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.94,285.0,281.0,39.0,255.0,271.0,0.0,261.0,0.0,1.84,3.46,0.0,0.0,64.33,0.0,0.0,1793,1069.0,249.0,2020-12-05 17:40:17.0,83.82,46.09,"['S107640700004302564', 'S107640700003302564']",3885.0,10.51,
8402,2020-12-05T13:11:22.000,23.01,18.5,300.0,96.0,299.0,111.2,300.0,300.0,26.0,0.0,300.0,298.0,44.0,300.0,300.0,0.0,0,0.0,0S000,0.0,0.0,0.0,0.0,27.0,0.0,18.0,2.69,290.0,281.0,114.0,265.0,275.0,0.0,275.0,0.0,4.7,2.43,0.0,0.0,66.06,0.0,0.0,1793,845.0,260.0,2020-12-05 16:11:22.0,66.27,57.34,[],3885.0,13.6,
8403,2020-12-05T14:41:01.000,16.5,22.0,294.0,96.0,295.0,71.3,296.0,295.0,42.6,0.0,0.0,0.0,40.0,296.0,0.0,0.0,8,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.93,285.0,281.0,98.0,255.0,271.0,0.0,261.0,0.0,1.84,3.46,0.0,0.0,64.37,0.0,0.0,1793,1069.0,249.0,2020-12-05 17:41:01.0,83.82,46.08,"['S107640700006302564', 'S107640700005302564']",3885.0,10.48,
8404,2020-12-05T14:41:50.000,16.5,22.0,294.0,95.0,295.0,71.3,293.0,295.0,43.1,0.0,0.0,0.0,40.0,296.0,0.0,0.0,9,0.0,0A000,0.0,0.0,0.0,0.0,30.0,0.0,15.0,2.94,285.0,281.0,47.0,255.0,270.0,0.0,261.0,0.0,1.84,3.47,0.0,0.0,64.28,0.0,0.0,1793,1068.0,249.0,2020-12-05 17:41:50.0,83.74,46.1,"['S107640700007302564', 'S107640700008302564']",3885.0,10.51,
