,volCushion2,prsBackSpec2,timTransfer2,timTransfer1,volShot2,volPlasticisation1,timFill2,timMoldOpen,tmpNozle2,prsTransferSpec2,prsInjectionSpec1,timPlasticisation2,reason
0,34.14,300.8,2.7,1.58,176.19,181.727,2.7,5.29,235.0,1948.7,1239.1,24.18,0
1,20.69,308.0,2.53,2.33,188.63,194.835,2.53,4.93,240.0,1942.3,1184.9,33.39,0
2,19.62,307.5,2.64,2.33,189.76,195.96599999999998,2.64,4.93,240.3,1940.6,1185.2,32.96,0
3,19.8,308.1,2.65,2.33,189.43,195.803,2.65,4.93,239.7,1940.0,1184.7,32.8,0
4,19.57,308.0,2.61,2.33,189.79,195.99,2.61,4.93,240.0,1941.6,1185.3,32.92,0
5,19.23,308.5,2.58,2.33,189.98,196.104,2.58,4.93,239.9,1941.5,1185.6,33.14,0
6,19.37,307.8,2.59,2.33,189.9,196.072,2.59,4.93,240.0,1942.5,1187.6,33.03,0
7,19.44,308.9,2.61,2.33,189.92,196.075,2.61,4.93,240.1,1939.6,1185.6,33.18,0
8,20.68,307.6,2.53,2.33,188.42,194.65,2.53,4.93,240.0,1941.0,1184.6,33.5,0
9,20.95,307.7,2.57,2.33,188.37,194.398,2.57,4.93,240.0,1940.9,1183.6,33.17,0
10,20.65,308.6,2.54,2.33,188.55,194.794,2.54,4.93,240.1,1940.7,1184.4,33.38,0
11,20.74,307.6,2.57,2.33,188.47,194.662,2.57,4.93,240.0,1941.7,1186.3,33.54,0
12,20.78,308.7,2.55,2.33,188.31,194.62,2.55,4.93,240.0,1940.5,1186.1,33.38,0
13,19.55,307.2,2.63,2.33,189.74,195.976,2.63,4.93,240.1,1938.7,1187.5,33.11,0
14,20.72,308.1,2.57,2.33,188.52,194.65400000000002,2.57,4.93,240.1,1941.5,1185.5,33.74,0
15,19.59,307.4,2.64,2.33,189.58,195.81,2.64,5.72,240.1,1940.7,1186.9,32.93,0
16,19.57,308.8,2.62,2.33,189.66,195.905,2.62,4.93,240.0,1940.4,1186.8,33.25,0
17,20.62,308.3,2.53,2.33,188.64,194.753,2.53,4.93,240.1,1940.8,1189.1,33.74,0
18,20.46,308.6,2.52,2.33,188.59,194.889,2.52,4.93,239.9,1940.0,1187.1,33.59,0
19,20.71,308.4,2.54,2.33,188.39,194.72799999999998,2.54,4.93,239.9,1939.9,1184.4,33.61,0
20,20.77,308.1,2.54,2.33,188.51,194.731,2.54,4.93,240.0,1942.2,1183.4,33.27,0
21,20.7,306.0,2.56,2.33,188.53,194.68099999999998,2.56,4.93,239.9,1943.2,1184.3,33.38,0
22,19.42,307.7,2.6,2.33,189.72,196.06799999999998,2.6,4.93,239.9,1944.0,1185.2,32.99,0
23,20.81,306.0,2.59,2.33,188.58,194.804,2.59,4.94,239.8,1940.3,1179.6,33.56,0
24,19.47,306.4,2.65,2.33,189.8,196.32299999999998,2.65,4.93,239.9,1941.3,1183.0,33.22,0
25,20.66,307.2,2.54,2.33,188.6,194.919,2.54,4.94,240.3,1940.9,1184.7,33.43,0
26,20.95,305.8,2.59,2.33,188.17,194.6,2.59,4.93,240.0,1939.2,1181.7,33.46,0
27,20.71,306.1,2.56,2.33,188.62,194.857,2.56,4.93,240.0,1941.2,1178.5,33.3,0
28,20.83,306.0,2.57,2.33,188.35,194.778,2.57,4.93,239.9,1939.0,1185.3,33.53,0
29,19.28,305.2,2.65,2.33,190.18,196.421,2.65,4.93,240.0,1939.9,1182.5,33.35,0
